Nr.   Classes Functions      NCSS  Javadocs Package
  1        10       102       326        66 com.becker.game.common
  2         9        82       615        49 com.becker.game.common.ui
  3         3        12        65         6 com.becker.game.multiplayer.common
  4         4        23       147        12 com.becker.game.multiplayer.common.ui
  5         7        83       337        38 com.becker.game.multiplayer.galactic
  6        12        68       681        47 com.becker.game.multiplayer.galactic.ui
  7         2        15       121        11 com.becker.game.multiplayer.online.ui
  8         3        23        87        12 com.becker.game.multiplayer.poker
  9         2         6        27         3 com.becker.game.multiplayer.poker.online
 10         4        25       136        12 com.becker.game.multiplayer.poker.player
 11        10        62       500        37 com.becker.game.multiplayer.poker.ui
 12         2        14        52         6 com.becker.game.multiplayer.set
 13         7        40       225        22 com.becker.game.multiplayer.set.ui
 14         3        12        81        12 com.becker.game.online
 15         4        20       107         7 com.becker.game.online.ui
 16         4        52       448        40 com.becker.game.twoplayer.blockade
 17         4        30       355        22 com.becker.game.twoplayer.blockade.ui
 18         4        32       310        29 com.becker.game.twoplayer.checkers
 19         4        24       178        14 com.becker.game.twoplayer.checkers.ui
 20         4        43       358        35 com.becker.game.twoplayer.chess
 21         4        19       140        11 com.becker.game.twoplayer.chess.ui
 22         3        49       165        32 com.becker.game.twoplayer.common
 23         5        47       395        28 com.becker.game.twoplayer.common.search
 24         8        77       919        44 com.becker.game.twoplayer.common.ui
 25         9        94       498        67 com.becker.game.twoplayer.go
 26         8        39       180        15 com.becker.game.twoplayer.go.test
 27         3        51       195         5 com.becker.game.twoplayer.go.test.whitebox
 28         7        46       410        29 com.becker.game.twoplayer.go.ui
 29         3        27       348        20 com.becker.game.twoplayer.pente
 30         3        12        60         4 com.becker.game.twoplayer.pente.ui
    --------- --------- --------- ---------
          155      1229      8466       735 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
    30.00    155.00   1229.00   8466.00    735.00 | Project
               5.17     40.97    282.20     24.50 | Package
                         7.93     54.62      4.74 | Class
                                   6.89      0.60 | Function

Nr. NCSS Functions Classes Javadocs Class
  1   10         9       0       10 com.becker.game.common.BoardInterface
  2   51        16       0       11 com.becker.game.common.BoardPosition
  3   58        15       0        2 com.becker.game.common.Box
  4   14        13       0       13 com.becker.game.common.GameControllerInterface
  5    6         3       0        3 com.becker.game.common.GameOptions
  6   51        13       0        9 com.becker.game.common.GamePiece
  7   53        14       0        8 com.becker.game.common.GameWeights
  8   25         6       0        4 com.becker.game.common.Move
  9   37        11       0        3 com.becker.game.common.Player
 10    3         2       0        3 com.becker.game.common.ViewerCallbackInterface
 11   25         3       0        3 com.becker.game.common.ui.GameApplet
 12   13         3       0        4 com.becker.game.common.ui.GameChangedEvent
 13    2         1       0        1 com.becker.game.common.ui.GameChangedListener
 14   91        20       0       11 com.becker.game.common.ui.GameInfoPanel
 15  130        21       0       17 com.becker.game.common.ui.GamePanel
 16   37         6       0        4 com.becker.game.common.ui.GamePieceRenderer
 17   50         9       0        2 com.becker.game.common.ui.GameToolBar
 18   79         6       0        4 com.becker.game.common.ui.HelpDialog
 19  129        13       0        3 com.becker.game.common.ui.NewGameDialog
 20   23         7       0        2 com.becker.game.multiplayer.common.MultiGameOptions
 21   27         3       0        3 com.becker.game.multiplayer.common.MultiGamePlayer
 22    7         2       0        1 com.becker.game.multiplayer.common.PlayerAction
 23   14         5       0        1 com.becker.game.multiplayer.common.ui.MultiGameOptionsDialog
 24   52         7       0        6 com.becker.game.multiplayer.common.ui.MultiPlayerNewGameDialog
 25   14         4       0        1 com.becker.game.multiplayer.common.ui.PlayerTableModel
 26   42         7       0        4 com.becker.game.multiplayer.common.ui.TallyDialog
 27   80        19       0       15 com.becker.game.multiplayer.galactic.GalacticController
 28    9         2       0        1 com.becker.game.multiplayer.galactic.GalacticHumanPlayer
 29   39        12       0        3 com.becker.game.multiplayer.galactic.GalacticOptions
 30   21         5       1        6 com.becker.game.multiplayer.galactic.GalacticTurn
 31   69        18       0        4 com.becker.game.multiplayer.galactic.Order
 32   77        25       0        8 com.becker.game.multiplayer.galactic.Planet
