it, fitness,   jumpSize,  wave speed,           wave amplitude,       wave period, 
0, 0.0,             0.0,  0.004000000000000000, 0.040000000000000000, 3.0, 
1, 0.24255254,      2.0,  0.002673118034957616, 0.03975724246971331,  3.0552473146157726, 
2, 0.04589518,      2.8,  0.003928105676731946, 0.038729662282336194, 3.2443887268709974, 
3, 0.48189329, ***  3.92, 0.005092907869908552, 0.053380338123481315, 3.703570259072798, 
4, 0.28210864,      1.52, 0.00496951684525009,  0.0516878420487738,   2.5951861345604104, 
5, 0.04687980,      0.62, 0.005775577963875124, 0.05019013108465679,  2.8748319203299726, 
6, 0.32464714,      0.25, 0.005812730891330153, 0.04396451301295602,  2.8720848128107668, 
7, 0.02251409,      0.25, 0.005969116016208592, 0.04351753090240584,  2.8503164647254744, 
8, 0.02206886,      0.35, 0.006126035749551146, 0.04349548315799688,  2.8257262575647912, 
9, 0.02396036,      0.49, 0.006322956055541937, 0.043620705785004994, 2.77200006779093, 
10, 0.0220536,      0.68, 0.006632234597728229, 0.0429312321262571,   2.7301779645010273, 
11, 0.0224427,      0.96, 0.006950316891920948, 0.041946624355544526, 2.59238688223055, 
12, 0.6398628,      0.38, 0.007343116262032023, 0.04742417142639215,  2.7422249594904304, 
13, 0.0682927,      0.15, 0.007239717424720114, 0.047435898779677445, 2.6422268211167474, 
14, 0.0389368,      0.21, 0.007257236694036443, 0.047564446290464066, 2.5993299132598344, 
15, 0.0228357,      0.31, 0.0073411860152408,   0.04713217785563378,  2.551188915220252, 
16, 0.0272420,      0.42, 0.007437357514506726, 0.046709153793790585, 2.47690458498638, 
17, 0.0389125,      0.59, 0.007645529470547804, 0.04626006627957826,  2.3970112956456657, 
18, 0.0350038,      0.23, 0.008016762606223032, 0.04544804651429389,  2.4494169080294523, 
19, 0.3996459, ***  0.095,0.00802274239442145,  0.04545322472378111,  2.38232725369791, 
