iteration, fitness, jumpSize, wave speed, wave amplitude, wave period, comment 
0, 0.0000000000, 0.0000000000, 0.004, 0.040, 3.000, ,null
0, 0.3417101939, 1.500, 0.0032945758, 0.0294539086, 3.0293017841, ,not improved
0, 0.3417101939, 0.750, 0.0036472879, 0.0347269543, 3.014650892, ,not improved
0, 0.3417101939, 0.375, 0.003823644, 0.0373634771, 3.007325446, ,not improved
0, 0.3417101939, 0.1875, 0.003911822, 0.0386817386, 3.003662723, ,not improved
0, 0.3417101939, 0.09375, 0.003955911, 0.0393408693, 3.0018313615, ,not improved
0, 0.3417101939, 0.046875, 0.0039779555, 0.0396704346, 3.0009156808, ,not improved
0, 0.3417101939, 0.0234375, 0.0039889777, 0.0398352173, 3.0004578404, ,not improved
0, 0.3417101939, 0.01171875, 0.0039944889, 0.0399176087, 3.0002289202, ,not improved
0, 0.3417101939, 0.005859375, 0.0039972444, 0.0399588043, 3.0001144601, ,not improved
1, 0.3417101939, 0.0029296875, 0.0039986222, 0.0399794022, 3.00005723, ,-
2, 0.0519837216, 0.0029296875, 0.0040003324, 0.0399772401, 3.0004534637, ,-
2, 0.0521142769, 0.0029296875, 0.0040020446, 0.0399753615, 3.0008492454, ,not improved
3, 0.0521142769, 0.0020507812, 0.0040011885, 0.0399763008, 3.0006513546, ,-
3, 0.2449311879, 0.0020507812, 0.0040014299, 0.0399759762, 3.0000795058, ,not improved
4, 0.2449311879, 0.0005126953, 0.0040013092, 0.0399761385, 3.0003654302, ,-
